"label","title","author","year","source","publisher","volume","issue","start_page","end_page","doi","issn","abstract","source_file","articleurl","citationurl","citesurl","fulltexturl","relatedurl","link","title_clean","author_clean","row_number_in_group","matches","language","text","citation","screened_titles","notes"
"ref_2757","maladaptive cognition and problematic internet use among nigerian adolescent students: role of social anxiety","Nwufo, JI; Ike, OO; Chidozie, OE; Nnadozie, EE; Nwufo, CL",2022,"JOURNAL OF PSYCHOLOGY IN AFRICA",NA,"32","4","353","358","10.1080/14330237.2022.2066365","1433-0237; 1815-5626","This study examined the role of social anxiety in the association between maladaptive cognition and problematic internet use among Nigerian adolescent students. Participants were 509 adolescents from schools in South-East Nigeria (n = 509; male = 46.56%, female = 53.44%; mean age = 15.86 years; SD = 2.57 years). The participants completed measures of social anxiety (Social Anxiety Scale for Adolescents), problematic internet use (Problematic Internet Use Questionnaire), and maladaptive cognition (Maladaptive Interpersonal Belief Scale). Regression analyses showed a positive association between students' maladaptive cognition and problematic internet use, as well as between social anxiety and problematic internet use. Additionally, social anxiety mediated the relationship between maladaptive cognition and problematic internet use, increasing the risk of problematic internet use. These findings indicate a need for interventions to reduce the risk of problematic internet use through counselling students for healthy cognition and normative social anxiety.","wos3000.ris",NA,NA,NA,NA,NA,NA,"maladaptive cognition and problematic internet use among nigerian adolescent students: role of social anxiety","nwufo, ji; ike, oo; chidozie, oe; nnadozie, ee; nwufo, cl",NA,2742,"en","maladaptive cognition and problematic internet use among nigerian adolescent students: role of social anxiety this study examined the role of social anxiety in the association between maladaptive cognition and problematic internet use among nigerian adolescent students. participants were 509 adolescents from schools in south-east nigeria (n = 509; male = 46.56%, female = 53.44%; mean age = 15.86 years; sd = 2.57 years). the participants completed measures of social anxiety (social anxiety scale for adolescents), problematic internet use (problematic internet use questionnaire), and maladaptive cognition (maladaptive interpersonal belief scale). regression analyses showed a positive association between students' maladaptive cognition and problematic internet use, as well as between social anxiety and problematic internet use. additionally, social anxiety mediated the relationship between maladaptive cognition and problematic internet use, increasing the risk of problematic internet use. these findings indicate a need for interventions to reduce the risk of problematic internet use through counselling students for healthy cognition and normative social anxiety.","Maladaptive Cognition and Problematic Internet Use among Nigerian Adolescent Students: Role of Social Anxiety.","selected",NA
"ref_1893","exploring the relationship between electronic device use and psychological dimensions of procrastination in university students","Salguero-Pazos, M; Reyes-de-Cózar, S",2025,"BEHAVIORAL SCIENCES",NA,"16","1","","","10.3390/bs16010006","2076-328X","This study examines the relationship between electronic device use and psychological dimensions of procrastination in university students. The main objectives were to identify screen usage habits, explore their association with key psychological factors, and determine whether these factors predict perceived procrastination. An ad hoc instrument and descriptive, correlational, and regression techniques were used for data analysis of a sample of 924 Spanish university students. From this sample, a target subsample of 386 students who reported high levels of procrastination was selected to analyse screen-use patterns and their links with procrastination dimensions. In contrast, the full sample was used to estimate the predictive regression models. Results showed high screen use among students, with 20% potentially at risk for problematic use. High screen use correlated with lower self-regulation, self-efficacy, and self-esteem, and higher anxiety. Conversely, higher self-regulation and self-efficacy were linked to more motivation, better self-esteem, and less anxiety. Regression results indicated that screen time, self-regulation, and self-efficacy significantly predict procrastination levels. These findings suggest that psychological factors play a key role in how screen use relates to procrastination.","wos1000.ris",NA,NA,NA,NA,NA,NA,"exploring the relationship between electronic device use and psychological dimensions of procrastination in university students","salguero-pazos, m; reyes-de-cózar, s",NA,1884,"en","exploring the relationship between electronic device use and psychological dimensions of procrastination in university students this study examines the relationship between electronic device use and psychological dimensions of procrastination in university students. the main objectives were to identify screen usage habits, explore their association with key psychological factors, and determine whether these factors predict perceived procrastination. an ad hoc instrument and descriptive, correlational, and regression techniques were used for data analysis of a sample of 924 spanish university students. from this sample, a target subsample of 386 students who reported high levels of procrastination was selected to analyse screen-use patterns and their links with procrastination dimensions. in contrast, the full sample was used to estimate the predictive regression models. results showed high screen use among students, with 20% potentially at risk for problematic use. high screen use correlated with lower self-regulation, self-efficacy, and self-esteem, and higher anxiety. conversely, higher self-regulation and self-efficacy were linked to more motivation, better self-esteem, and less anxiety. regression results indicated that screen time, self-regulation, and self-efficacy significantly predict procrastination levels. these findings suggest that psychological factors play a key role in how screen use relates to procrastination.","Exploring the Relationship Between Electronic Device Use and Psychological Dimensions of Procrastination in University Students.","selected",NA
"ref_4151","social interaction anxiety and problematic smartphone use: the mediating roles of self-concept clarity and mood regulation in chinese adolescents","Chen, YY; Huo, YQ",2026,"YOUTH & SOCIETY",NA,"58","1","85","101","10.1177/0044118X251347309","0044-118X; 1552-8499","The study aimed to investigate the serial mediation effects of self-concept clarity and mood regulation on the relationship between social interaction anxiety and problematic smartphone use based on the Interaction of Person-Affect-Cognition-Execution (I-PACE) model. A total of 1,022 Chinese adolescents involved accomplished a series of self-report instruments, such as the Self-Concept Clarity Scale, Interaction Anxiousness Scale, Mood Regulation through Smartphone Scale, and Smartphone Addiction Scale. Analysis of descriptive statistics, bivariate correlations as well as structural equation modeling was carried out in the study. The results verified the hypothesized relationships and revealed that social interaction anxiety had a positive correlation with problematic smartphone use. This correlation was mediated by self-concept clarity and mood regulation through smartphones in a partial and sequential manner. Therefore, both mediators could act as strengthening factors in this relationship. Implications and suggestions are presented for further studies.","wos3981.ris",NA,NA,NA,NA,NA,NA,"social interaction anxiety and problematic smartphone use: the mediating roles of self-concept clarity and mood regulation in chinese adolescents","chen, yy; huo, yq",NA,4127,"en","social interaction anxiety and problematic smartphone use: the mediating roles of self-concept clarity and mood regulation in chinese adolescents the study aimed to investigate the serial mediation effects of self-concept clarity and mood regulation on the relationship between social interaction anxiety and problematic smartphone use based on the interaction of person-affect-cognition-execution (i-pace) model. a total of 1,022 chinese adolescents involved accomplished a series of self-report instruments, such as the self-concept clarity scale, interaction anxiousness scale, mood regulation through smartphone scale, and smartphone addiction scale. analysis of descriptive statistics, bivariate correlations as well as structural equation modeling was carried out in the study. the results verified the hypothesized relationships and revealed that social interaction anxiety had a positive correlation with problematic smartphone use. this correlation was mediated by self-concept clarity and mood regulation through smartphones in a partial and sequential manner. therefore, both mediators could act as strengthening factors in this relationship. implications and suggestions are presented for further studies.","Social Interaction Anxiety and Problematic Smartphone Use: The Mediating Roles of Self-Concept Clarity and Mood Regulation in Chinese Adolescents.","selected",NA
"ref_5740","“teachers act like we’re robots”: tiktok as a window into youth experiences of online learning during covid-19","Literat I.",2021,"AERA Open",NA,"7","","","","10.1177/2332858421995537",NA,"Social media, and especially popular youth-focused platforms like TikTok, can offer a valuable window into youth experiences, including their perceptions of online learning. Building on a large-scale thematic analysis of 1,930 TikTok videos posted in March-June 2020, this study examines how young people shared their experiences of online learning during the COVID-19 pandemic. Findings indicate that youth portrayed online coursework as overwhelming and relentless against the traumatic background of the pandemic. They sought support, empathy, and authenticity from teachers, and both received and provided emotional and educational support to peers on the platform. Students’ home contexts emerged as particularly salient, making visible the intersections between young people’s home, school and social lives. By facilitating a grounded, bottom-up understanding of students’ experiences and perceptions—shared in their preferred spaces and modes of expression—this research stresses the need to attend to youth perspectives to craft more equitable and empowering educational futures. © The Author(s) 2021.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109158690&doi=10.1177%2F2332858421995537&partnerID=40&md5=d87809e8161e87a8839171e6f6cecef6","“teachers act like we’re robots”: tiktok as a window into youth experiences of online learning during covid-19","literat i.",NA,5706,"en","“teachers act like we’re robots”: tiktok as a window into youth experiences of online learning during covid-19 social media, and especially popular youth-focused platforms like tiktok, can offer a valuable window into youth experiences, including their perceptions of online learning. building on a large-scale thematic analysis of 1,930 tiktok videos posted in march-june 2020, this study examines how young people shared their experiences of online learning during the covid-19 pandemic. findings indicate that youth portrayed online coursework as overwhelming and relentless against the traumatic background of the pandemic. they sought support, empathy, and authenticity from teachers, and both received and provided emotional and educational support to peers on the platform. students’ home contexts emerged as particularly salient, making visible the intersections between young people’s home, school and social lives. by facilitating a grounded, bottom-up understanding of students’ experiences and perceptions—shared in their preferred spaces and modes of expression—this research stresses the need to attend to youth perspectives to craft more equitable and empowering educational futures. © the author(s) 2021.","“teachers Act Like We’re Robots”: Tiktok as a Window into Youth Experiences of Online Learning During Covid-19.","selected",NA
"ref_2709","longitudinal associations between changes in screen-time and mental health outcomes in adolescents","Babic, MJ; Smith, JJ; Morgan, PJ; Eather, N; Plotnikoff, RC; Lubans, DR",2017,"MENTAL HEALTH AND PHYSICAL ACTIVITY",NA,"12","","124","131","10.1016/j.mhpa.2017.04.001","1755-2966; 1878-0199","Introduction: The primary aim was to examine longitudinal associations between changes in screen-time and mental health outcomes among adolescents. Methods: Adolescents (N = 322, 65.5% females, mean age = 14.4 +/- 0.6 years) reported screen-time and mental health at two time points over a school year. Multi-level linear regression analyses were conducted after adjusting for covariates. Results: Changes in total recreational screen-time (beta = -0.09 p = 0.048) and tablet/mobile phone use (beta = -0.18, p < 0.001) were negatively associated with physical self-concept. Changes in total recreational screen-time (beta = -0.20, p = 0.001) and computer use (beta = -0.23, p = 0.003) were negatively associated with psychological well-being. A positive association was found with television/DVD use and psychological difficulties (beta = 0.16, p = 0.015). No associations were found for non-recreational screen-time. Conclusion: Changes in recreational screen-time were associated with changes in a range of mental health outcomes. (C) 2017 Elsevier Ltd. All rights reserved.","wos2000.ris",NA,NA,NA,NA,NA,NA,"longitudinal associations between changes in screen-time and mental health outcomes in adolescents","babic, mj; smith, jj; morgan, pj; eather, n; plotnikoff, rc; lubans, dr",NA,2695,"en","longitudinal associations between changes in screen-time and mental health outcomes in adolescents introduction: the primary aim was to examine longitudinal associations between changes in screen-time and mental health outcomes among adolescents. methods: adolescents (n = 322, 65.5% females, mean age = 14.4 +/- 0.6 years) reported screen-time and mental health at two time points over a school year. multi-level linear regression analyses were conducted after adjusting for covariates. results: changes in total recreational screen-time (beta = -0.09 p = 0.048) and tablet/mobile phone use (beta = -0.18, p < 0.001) were negatively associated with physical self-concept. changes in total recreational screen-time (beta = -0.20, p = 0.001) and computer use (beta = -0.23, p = 0.003) were negatively associated with psychological well-being. a positive association was found with television/dvd use and psychological difficulties (beta = 0.16, p = 0.015). no associations were found for non-recreational screen-time. conclusion: changes in recreational screen-time were associated with changes in a range of mental health outcomes. (c) 2017 elsevier ltd. all rights reserved.","Longitudinal Associations Between Changes in Screen-Time and Mental Health Outcomes in Adolescents.","selected",NA
"ref_2492","internet overuse as cause of mental ill health among female college students","Rathore, S; Ruhela, R",2018,"INDIAN JOURNAL OF PSYCHOLOGICAL SCIENCE",NA,"9","1","143","149",NA,"0976-9218","Objective: Since problematic internet use has long been a matter of public concern. The purpose of this study was to evaluate prevalence of internet addiction and its relation with depression, anxiety and stress among female college students. Design: A causal research design. Method: Sample of the study includes 254 college students aged between 18-14 years. To analyze data, mean and standard deviation were used in the descriptive statistics and the Pearson correlation and single-variable regression were used. These analyses were carried out via SPSS 20.0. Results: findings revealed that Internet addiction has a positive significant relationship with Depression, Anxiety and Stress as a whole and all its components. The Regression results revealed that in general, addiction to internet can predict about 25.5% of depression, 23.4% of anxiety and 25 .8% of stress variable. Conclusion: The study of the underlying causes of Internet addiction and consequently, prevention of itseems necessary based on the findings of this study.","wos1000.ris",NA,NA,NA,NA,NA,NA,"internet overuse as cause of mental ill health among female college students","rathore, s; ruhela, r",NA,2478,"en","internet overuse as cause of mental ill health among female college students objective: since problematic internet use has long been a matter of public concern. the purpose of this study was to evaluate prevalence of internet addiction and its relation with depression, anxiety and stress among female college students. design: a causal research design. method: sample of the study includes 254 college students aged between 18-14 years. to analyze data, mean and standard deviation were used in the descriptive statistics and the pearson correlation and single-variable regression were used. these analyses were carried out via spss 20.0. results: findings revealed that internet addiction has a positive significant relationship with depression, anxiety and stress as a whole and all its components. the regression results revealed that in general, addiction to internet can predict about 25.5% of depression, 23.4% of anxiety and 25 .8% of stress variable. conclusion: the study of the underlying causes of internet addiction and consequently, prevention of itseems necessary based on the findings of this study.","Internet Overuse as Cause of Mental Ill Health among Female College Students.","selected",NA
"ref_4398","subjective poverty, material deprivation indices and psychological distress among young adults: the mediating role of social capital and usage of online social networks","Achdut, N; Refaeli, T; Tayri, TMS",2021,"SOCIAL INDICATORS RESEARCH",NA,"158","3","863","887","10.1007/s11205-021-02729-0","0303-8300; 1573-0921","The mechanisms underlying the SES-psychological distress association are not fully explored. Based on representative cross-sectional data from Israel for the year 2017 (N = 1508), we examine (1) the association between subjective poverty, material deprivation, social capital, and psychological distress among young adults (20-29 years); and (2) whether social capital mediates the subjective poverty/material deprivation-psychological distress association. Informal social capital includes connections with family and friends, perceived support, and perceived trust, whereas formal social capital includes volunteering and civic and political involvement. An additional aspect was online social network usage. We constructed a structural equation model to explore paths of relationships between subjective poverty, material deprivation, social capital, and psychological distress. Subjective poverty and material deprivation were strong predictors of psychological distress. Informal social capital buffered the negative effect of subjective poverty and material deprivations on psychological distress, whereas use of online social networks increased it. The use of online social networks, however, promoted informal social capital, which, in turn, was a protective factor against psychological distress. Further investigation is needed on which patterns and platforms of online social networks harm and which promote young adults' psychological wellbeing. Informal social capital should be a prominent aspect of both preventive medicine practice and health promotion initiatives among young adults. Policy-makers are called on to support this important means of promoting public health. However, to substantially narrow disparities in psychological distress among young adults, direct action should be taken to reduce poverty and material deprivation.","wos1000.ris",NA,NA,NA,NA,NA,NA,"subjective poverty, material deprivation indices and psychological distress among young adults: the mediating role of social capital and usage of online social networks","achdut, n; refaeli, t; tayri, tms",NA,4371,"en","subjective poverty, material deprivation indices and psychological distress among young adults: the mediating role of social capital and usage of online social networks the mechanisms underlying the ses-psychological distress association are not fully explored. based on representative cross-sectional data from israel for the year 2017 (n = 1508), we examine (1) the association between subjective poverty, material deprivation, social capital, and psychological distress among young adults (20-29 years); and (2) whether social capital mediates the subjective poverty/material deprivation-psychological distress association. informal social capital includes connections with family and friends, perceived support, and perceived trust, whereas formal social capital includes volunteering and civic and political involvement. an additional aspect was online social network usage. we constructed a structural equation model to explore paths of relationships between subjective poverty, material deprivation, social capital, and psychological distress. subjective poverty and material deprivation were strong predictors of psychological distress. informal social capital buffered the negative effect of subjective poverty and material deprivations on psychological distress, whereas use of online social networks increased it. the use of online social networks, however, promoted informal social capital, which, in turn, was a protective factor against psychological distress. further investigation is needed on which patterns and platforms of online social networks harm and which promote young adults' psychological wellbeing. informal social capital should be a prominent aspect of both preventive medicine practice and health promotion initiatives among young adults. policy-makers are called on to support this important means of promoting public health. however, to substantially narrow disparities in psychological distress among young adults, direct action should be taken to reduce poverty and material deprivation.","Subjective Poverty, Material Deprivation Indices and Psychological Distress among Young Adults: The Mediating Role of Social Capital and Usage of Online Social Networks.","selected",NA
"ref_4557","the associations between social comparison on social media and young adults’ mental health","Le Blanc-Brillon J.; Fortin J.-S.; Lafrance L.; Hétu S.",2025,"Frontiers in Psychology",NA,"16","","","","10.3389/fpsyg.2025.1597241",NA,"Introduction: Social networking sites (SNSs) have become an integral part of daily life, raising concerns about their potential impact on mental health. One key mechanism through which SNSs may affect wellbeing is social comparison. The present research aimed to examine the mediating role of social comparisons (upward and downward) in the relationship between SNSs use and self-esteem (global and physical). Methods: Study 1 (N = 139; female 51%; 73% White), conducted during the COVID-19 pandemic, tested whether perceived exposure to social comparisons mediated the relationship between Instagram use and self-esteem. Results: Results revealed that upward comparisons mediated the association between Instagram use and lower global self-esteem, but no significant mediation was found for physical self-esteem. Study 2 (N = 413; 58% female; 62% White), conducted post-pandemic, extended these findings by including two SNSs (Instagram and Facebook), the extremity of upward comparisons (how far superior the comparison target is perceived to be), social feedback (responses or evaluations from others) and measures of depressive symptoms. As expected, exposure to upward comparisons negatively mediated the relationship between SNSs use and self-esteem (both global and physical), and positively mediated the relationship between SNSs use and depressive symptoms. However, contrary to our hypothesis, frequent SNSs users engaged in less extreme upward comparisons, partially buffering the negative impact of extreme upward comparisons. Discussion: Together, these findings highlight the crucial role of both exposure to and extremity of upward social comparisons in the complex relationship between SNSs use and mental health. These two factors contribute significantly though modestly to the effects of SNSs on self-esteem and depressive symptoms (R2 between 6 and 9%), underscoring the need for further research on individual and contextual variables that may mitigate their adverse psychological consequences. Copyright © 2025 Le Blanc-Brillon, Fortin, Lafrance and Hétu.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014003111&doi=10.3389%2Ffpsyg.2025.1597241&partnerID=40&md5=3d6645b2256834da18cc5d639ec0e89f","the associations between social comparison on social media and young adults’ mental health","le blanc-brillon j.; fortin j.-s.; lafrance l.; hétu s.",NA,4529,"en","the associations between social comparison on social media and young adults’ mental health introduction: social networking sites (snss) have become an integral part of daily life, raising concerns about their potential impact on mental health. one key mechanism through which snss may affect wellbeing is social comparison. the present research aimed to examine the mediating role of social comparisons (upward and downward) in the relationship between snss use and self-esteem (global and physical). methods: study 1 (n = 139; female 51%; 73% white), conducted during the covid-19 pandemic, tested whether perceived exposure to social comparisons mediated the relationship between instagram use and self-esteem. results: results revealed that upward comparisons mediated the association between instagram use and lower global self-esteem, but no significant mediation was found for physical self-esteem. study 2 (n = 413; 58% female; 62% white), conducted post-pandemic, extended these findings by including two snss (instagram and facebook), the extremity of upward comparisons (how far superior the comparison target is perceived to be), social feedback (responses or evaluations from others) and measures of depressive symptoms. as expected, exposure to upward comparisons negatively mediated the relationship between snss use and self-esteem (both global and physical), and positively mediated the relationship between snss use and depressive symptoms. however, contrary to our hypothesis, frequent snss users engaged in less extreme upward comparisons, partially buffering the negative impact of extreme upward comparisons. discussion: together, these findings highlight the crucial role of both exposure to and extremity of upward social comparisons in the complex relationship between snss use and mental health. these two factors contribute significantly though modestly to the effects of snss on self-esteem and depressive symptoms (r2 between 6 and 9%), underscoring the need for further research on individual and contextual variables that may mitigate their adverse psychological consequences. copyright © 2025 le blanc-brillon, fortin, lafrance and hétu.","The Associations Between Social Comparison on Social Media and Young Adults’ Mental Health.","selected",NA
"ref_5066","the relationship between internet use preference and loneliness among college students during covid-19: the chain mediating effect of online social support and self-esteem","Luo Q.; Huang L.; Wu N.",2022,"Frontiers in Psychology",NA,"13","","","","10.3389/fpsyg.2022.1058944",NA,"The outbreak of COVID-19, especially the demands of social interaction and spatial distancing behavior, has led to a surge in Internet use, which has also led to an increase in loneliness. Therefore, we investigated the role of online social support and self-esteem in the relationship between Internet use preference and loneliness. In this study, 1053 college students were surveyed with a questionnaire based on the framework of Ecological System Theory, and a chain mediation model was established to clarify the mechanism between Internet use preference and loneliness. The results show that Internet use preference not only positively predicts loneliness, but also indirectly influences loneliness through the mediators of online social support and self-esteem, thereby impacting loneliness through the “online social support → self-esteem” chain. The results also indicate the need to pay attention to college students’ mental health status during COVID-19. The advent of COVID-19 has impacted people’s lifestyles and has changed the impact of the Internet on individual mental health. This study provides a new way to further understand college students’ Internet use preferences, online social support, self-esteem, and loneliness status during COVID-19. It provides targeted interventions for college students’ loneliness during COVID-19. Copyright © 2022 Luo, Huang and Wu.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145696230&doi=10.3389%2Ffpsyg.2022.1058944&partnerID=40&md5=ee9a5de35c09780697b6976ba99db7d4","the relationship between internet use preference and loneliness among college students during covid-19: the chain mediating effect of online social support and self-esteem","luo q.; huang l.; wu n.",NA,5038,"en","the relationship between internet use preference and loneliness among college students during covid-19: the chain mediating effect of online social support and self-esteem the outbreak of covid-19, especially the demands of social interaction and spatial distancing behavior, has led to a surge in internet use, which has also led to an increase in loneliness. therefore, we investigated the role of online social support and self-esteem in the relationship between internet use preference and loneliness. in this study, 1053 college students were surveyed with a questionnaire based on the framework of ecological system theory, and a chain mediation model was established to clarify the mechanism between internet use preference and loneliness. the results show that internet use preference not only positively predicts loneliness, but also indirectly influences loneliness through the mediators of online social support and self-esteem, thereby impacting loneliness through the “online social support → self-esteem” chain. the results also indicate the need to pay attention to college students’ mental health status during covid-19. the advent of covid-19 has impacted people’s lifestyles and has changed the impact of the internet on individual mental health. this study provides a new way to further understand college students’ internet use preferences, online social support, self-esteem, and loneliness status during covid-19. it provides targeted interventions for college students’ loneliness during covid-19. copyright © 2022 luo, huang and wu.","The Relationship Between Internet Use Preference and Loneliness among College Students During Covid-19: The Chain Mediating Effect of Online Social Support and Self-Esteem.","selected",NA
"ref_4491","the acceptability of a smartphone app (blueice) for university students who self-harm","Cliffe, B; Stokes, Z; Stallard, P",2023,"ARCHIVES OF SUICIDE RESEARCH",NA,"27","2","565","581","10.1080/13811118.2021.2022552","1381-1118; 1543-6136","University students are twice as likely to self-harm than community controls but, unfortunately, help-seeking among this population is particularly low. Given the stigma around self-harm, the face-to-face nature of traditional support for self-harm can be a barrier to help-seeking. Smartphone applications (apps) are a possible alternative source of support, and research has shown that students are receptive to this option. This study sought to assess the acceptability of a smartphone app called BlueIce for university students who self-harm. Semi-structured interviews were conducted with 25 students with a history of self-harm. A qualitative content analysis was undertaken and five categories were identified: the content of BlueIce, the use of BlueIce with university students, the function of BlueIce, comparison with other support, and the implementation and uptake of BlueIce. Responses to BlueIce were very positive with students believing BlueIce to be a helpful resource that was perceived as more accessible than alternative support. Participants believed it could provide help in moments of distress as well as helping individuals learn longer-term coping skills. Others felt that BlueIce would not be adequate for some people and would be better used alongside other face-to-face support. Overall, it was clear that BlueIce was acceptable to the students in this study. Future research should seek to evaluate the feasibility and effectiveness of BlueIce within a university setting with students.","wos2000.ris",NA,NA,NA,NA,NA,NA,"the acceptability of a smartphone app (blueice) for university students who self-harm","cliffe, b; stokes, z; stallard, p",NA,4463,"en","the acceptability of a smartphone app (blueice) for university students who self-harm university students are twice as likely to self-harm than community controls but, unfortunately, help-seeking among this population is particularly low. given the stigma around self-harm, the face-to-face nature of traditional support for self-harm can be a barrier to help-seeking. smartphone applications (apps) are a possible alternative source of support, and research has shown that students are receptive to this option. this study sought to assess the acceptability of a smartphone app called blueice for university students who self-harm. semi-structured interviews were conducted with 25 students with a history of self-harm. a qualitative content analysis was undertaken and five categories were identified: the content of blueice, the use of blueice with university students, the function of blueice, comparison with other support, and the implementation and uptake of blueice. responses to blueice were very positive with students believing blueice to be a helpful resource that was perceived as more accessible than alternative support. participants believed it could provide help in moments of distress as well as helping individuals learn longer-term coping skills. others felt that blueice would not be adequate for some people and would be better used alongside other face-to-face support. overall, it was clear that blueice was acceptable to the students in this study. future research should seek to evaluate the feasibility and effectiveness of blueice within a university setting with students.","The Acceptability of a Smartphone App (Blueice) for University Students Who Self-Harm.","selected",NA
"ref_4632","the effect of digital citizenship on negative online behaviors and learning outcomes in higher education","Dunaway M.; Macharia M.",2021,"Journal of Information Systems Education",NA,"32","4","294","307",NA,NA,"With the increase in Internet use, there has been an upsurge in negative online behaviors (such as cyberbullying and online harassment) among college students. As a result of the negative online behaviors, many students may experience anxiety, depression, feelings of loneliness, and alienation, which ultimately can impact their well-being and interfere with their ability to learn. It is envisaged that extending digital citizenship behavior to educational settings will arrest, or at the very least help mitigate, the impact of these negative behaviors on student learning outcomes. Using data collected from 184 university students, results show that perceived learning outcomes indirectly impact the relationship between digital citizenship and cyberbullying behaviors © 2021, Journal of Information Systems Education. All Rights Reserved.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126377286&partnerID=40&md5=82165ce5200d82c30f9565b233f1f4f4","the effect of digital citizenship on negative online behaviors and learning outcomes in higher education","dunaway m.; macharia m.",NA,4604,"en","the effect of digital citizenship on negative online behaviors and learning outcomes in higher education with the increase in internet use, there has been an upsurge in negative online behaviors (such as cyberbullying and online harassment) among college students. as a result of the negative online behaviors, many students may experience anxiety, depression, feelings of loneliness, and alienation, which ultimately can impact their well-being and interfere with their ability to learn. it is envisaged that extending digital citizenship behavior to educational settings will arrest, or at the very least help mitigate, the impact of these negative behaviors on student learning outcomes. using data collected from 184 university students, results show that perceived learning outcomes indirectly impact the relationship between digital citizenship and cyberbullying behaviors © 2021, journal of information systems education. all rights reserved.","The Effect of Digital Citizenship on Negative Online Behaviors and Learning Outcomes in Higher Education.","selected",NA
"ref_1561","effect of growth mindset on mental health two years later: the role of smartphone use","X Lai, C Nie, S Huang, Y Li, T Xin, C Zhang…",2022,"International journal of …","mdpi.com",NA,NA,NA,NA,NA,NA,"… This study focused on the far-reaching effects of growth mindset on adolescent mental health and therefore selected a sample of students who were approaching or just entering …",NA,"https://www.mdpi.com/1660-4601/19/6/3355",NA,"https://scholar.google.com/scholar?cites=1898849837713205003&as_sdt=2005&sciodt=2007&hl=en","https://www.mdpi.com/1660-4601/19/6/3355","https://scholar.google.com/scholar?q=related:Cye06t0RWhoJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007",NA,"effect of growth mindset on mental health two years later: the role of smartphone use","x lai, c nie, s huang, y li, t xin, c zhang…",NA,1553,"en","effect of growth mindset on mental health two years later: the role of smartphone use … this study focused on the far-reaching effects of growth mindset on adolescent mental health and therefore selected a sample of students who were approaching or just entering …","Effect of Growth Mindset on Mental Health Two Years Later: The Role of Smartphone Use.","selected",NA
"ref_5702","‘it’s like a hug’: examining the role of music-making for the well-being of youth during the covid-19 pandemic","Bennett A.; Sofija E.; Green B.; Guerra P.; Howard F.; Oliveira A.",2025,"Journal of Youth Studies",NA,"28","5","828","844","10.1080/13676261.2024.2305911",NA,"This article presents findings from a cross-disciplinary, international project that seeks to understand the importance of music-making for young people (aged 18–35 years) as a source of well-being during the COVID-19 crisis. A key objective of the project is to evaluate whether music-making has contributed in palpable ways to young people’s individual well-being and their sense of connection with others. For the purposes of the project, well-being is defined in relation to both physical and mental health but also by having a sense of social belonging. Given the unprecedented circumstances created by the COVID-19 pandemic, its rapid spread and ensuing disruptions to everyday life, the project findings offer a significant opportunity to examine and evaluate the importance of music-making for young people’s well-being in a time of rapidly shifting and increasingly uncertain socio-economic conditions. The article draws on data collected during 77 online interviews with young music-makers based in different locations around Australia, the UK and Portugal. Participants for the project were recruited through calls posted on social media with additional internal recruiting at one of the partner universities through a monthly call out for volunteers for research projects. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183015763&doi=10.1080%2F13676261.2024.2305911&partnerID=40&md5=94104a6b0cecd6360448702ce1815e96","‘it’s like a hug’: examining the role of music-making for the well-being of youth during the covid-19 pandemic","bennett a.; sofija e.; green b.; guerra p.; howard f.; oliveira a.",NA,5668,"en","‘it’s like a hug’: examining the role of music-making for the well-being of youth during the covid-19 pandemic this article presents findings from a cross-disciplinary, international project that seeks to understand the importance of music-making for young people (aged 18–35 years) as a source of well-being during the covid-19 crisis. a key objective of the project is to evaluate whether music-making has contributed in palpable ways to young people’s individual well-being and their sense of connection with others. for the purposes of the project, well-being is defined in relation to both physical and mental health but also by having a sense of social belonging. given the unprecedented circumstances created by the covid-19 pandemic, its rapid spread and ensuing disruptions to everyday life, the project findings offer a significant opportunity to examine and evaluate the importance of music-making for young people’s well-being in a time of rapidly shifting and increasingly uncertain socio-economic conditions. the article draws on data collected during 77 online interviews with young music-makers based in different locations around australia, the uk and portugal. participants for the project were recruited through calls posted on social media with additional internal recruiting at one of the partner universities through a monthly call out for volunteers for research projects. © 2024 the author(s). published by informa uk limited, trading as taylor & francis group.","‘it’s Like a Hug’: Examining the Role of Music-Making for the Well-Being of Youth During the Covid-19 Pandemic.","selected",NA
